State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8277527383592089	0.07494851554894552	0.003492901467427894	0.00597727243364077	0.08085682603783587	0.006093836333144637	3.9549694384364783E-4	2.5909059573274044E-4	2.233222802201133E-4	0.0
2	0.08329854456840986	0.7251180596002199	0.018110416204040948	0.11366983779641682	8.228931698526831E-4	1.584919476499224E-4	0.0	0.003252087269630412	0.016670960784282415	0.03889870865949711
3	0.004481223221832707	0.02172622191211141	0.6849651119873433	0.26361593212034046	0.006223168485418403	0.0	0.01044740971485795	0.008538622038420594	2.3105196749079445E-6	0.0
4	0.0016662750700782007	0.024554691213654424	0.04822026703997052	0.7217862631605626	0.004771313130872618	3.9386141462486007E-4	0.019949130188764784	5.433472802674635E-4	0.010071351651131417	0.16804349985007316
5	0.07069961811686919	3.6824060420609475E-4	0.0037279499089868107	0.01812507108967063	0.7243270072412907	0.1668226936680299	0.015686759833920316	2.426595370263891E-4	0.0	0.0
6	0.0018516121438538209	5.4356770032266384E-5	0.0	3.888296825306195E-4	0.05696429265810975	0.9080551355736947	0.031764049490990195	4.0944100791092433E-4	5.122826728777244E-4	0.0
7	3.7407505773320546E-5	0.0	6.90531843993987E-4	0.007365582616703091	0.0015336757355565566	0.009026811994082784	0.9766472939881898	0.001471734676348856	0.0032269616393512616	0.0
8	3.464733503994635E-4	0.00441699665810846	0.010439311098586188	0.003898362678473548	2.3074733440003366E-4	0.0019089884045147016	0.024356487451539722	0.8354338087101283	0.03343319284498956	0.08553563146886001
9	1.2164644310302524E-6	1.6964533298032946E-4	0.0	4.585693129449086E-4	8.917548194939614E-7	2.1134501091546706E-5	4.095490637667936E-4	2.4491982742174756E-4	0.9978569437437572	8.371299987867118E-4
10	0.0	8.44798183838148E-4	0.0	0.016237503438495837	0.0	0.0	0.0	0.0013343366741230306	0.0017009058419791248	0.979882455861564
